xiaoqu,total_price,unit_price,district,region,build_area,house_area,room,orientations,guapai_time,url
保利百合,658,84959,丰台,丽泽,77.45㎡,61.14㎡,2室1厅1厨1卫,南,2018-04-13,https://bj.ke.com/ershoufang/101102765559.html
保利百合,732,84929,丰台,丽泽,86.19㎡,68.04㎡,2室1厅1厨1卫,西南 北,2018-04-15,https://bj.ke.com/ershoufang/101102775187.html
保利百合,658,82872,丰台,丽泽,79.4㎡,61.49㎡,2室1厅1厨1卫,南,2018-05-21,https://bj.ke.com/ershoufang/101102894970.html
保利百合,663,84924,丰台,丽泽,78.07㎡,61.63㎡,2室1厅1厨1卫,南,2018-07-03,https://bj.ke.com/ershoufang/101103047201.html
京铁家园,660,50114,丰台,六里桥,131.7㎡,106.25㎡,2室1厅1厨2卫,南 北,2018-06-21,https://bj.ke.com/ershoufang/101103000626.html
永翌公馆,650,68128,丰台,六里桥,95.41㎡,77.28㎡,2室1厅1厨1卫,东南,2018-06-25,https://bj.ke.com/ershoufang/101103017462.html
莲香园,680,62449,丰台,六里桥,108.89㎡,91.18㎡,2室1厅1厨1卫,南 东,2017-11-28,https://bj.ke.com/ershoufang/101102346121.html
风荷曲苑,750,81691,丰台,六里桥,91.81㎡,74.66㎡,2室1厅1厨1卫,西北,2017-07-05,https://bj.ke.com/ershoufang/101101777368.html
风荷曲苑,812,83963,丰台,六里桥,96.71㎡,79㎡,2室1厅1厨1卫,西北,2017-12-28,https://bj.ke.com/ershoufang/101102439006.html
风荷曲苑,812,83963,丰台,六里桥,96.71㎡,79㎡,2室2厅1厨1卫,西北,2017-12-28,https://bj.ke.com/ershoufang/101102439204.html
风荷曲苑,796,83931,丰台,六里桥,94.84㎡,77.16㎡,2室2厅1厨1卫,西北,2018-01-20,https://bj.ke.com/ershoufang/101102506144.html
风荷曲苑,758,79925,丰台,六里桥,94.84㎡,77.16㎡,2室1厅1厨1卫,东 北,2018-05-13,https://bj.ke.com/ershoufang/101102868985.html
风荷曲苑,720,75918,丰台,六里桥,94.84㎡,77.16㎡,2室2厅1厨1卫,西北,2018-05-31,https://bj.ke.com/ershoufang/101102929526.html
风荷曲苑,780,82244,丰台,六里桥,94.84㎡,77.16㎡,2室2厅1厨1卫,东北,2018-06-29,https://bj.ke.com/ershoufang/101103032144.html
风荷曲苑,780,80654,丰台,六里桥,96.71㎡,79㎡,2室1厅1厨1卫,东北,2018-07-03,https://bj.ke.com/ershoufang/101103047337.html
风荷曲苑,835,84953,丰台,六里桥,98.29㎡,79.96㎡,2室1厅1厨2卫,南,2018-07-09,https://bj.ke.com/ershoufang/101103070729.html
世纪金色嘉园,720,77187,丰台,北京南站,93.28㎡,79.29㎡,2室1厅1厨1卫,西,2017-11-19,https://bj.ke.com/ershoufang/101102320818.html
世纪金色嘉园,720,77503,丰台,北京南站,92.9㎡,78.97㎡,2室1厅1厨1卫,西,2018-02-24,https://bj.ke.com/ershoufang/101102567138.html
世纪金色嘉园,725,78041,丰台,北京南站,92.9㎡,78.97㎡,2室1厅1厨1卫,东,2018-04-07,https://bj.ke.com/ershoufang/101102745974.html
世纪金色嘉园,730,78580,丰台,北京南站,92.9㎡,78.97㎡,2室1厅1厨1卫,东,2018-04-14,https://bj.ke.com/ershoufang/101102771157.html
世纪金色嘉园,845,68471,丰台,北京南站,123.41㎡,105.9㎡,2室2厅1厨2卫,东 北,2018-05-02,https://bj.ke.com/ershoufang/101102827892.html
世纪金色嘉园,760,79266,丰台,北京南站,95.88㎡,81.5㎡,2室2厅1厨1卫,东南,2018-05-19,https://bj.ke.com/ershoufang/101102885986.html
世纪金色嘉园,850,69213,丰台,北京南站,122.81㎡,105.38㎡,2室1厅1厨1卫,东北,2018-05-22,https://bj.ke.com/ershoufang/101102895887.html
世纪金色嘉园,740,71664,丰台,北京南站,103.26㎡,87.78㎡,2室1厅1厨1卫,东,2018-06-02,https://bj.ke.com/ershoufang/101102936687.html
右外大街4号院,732,54939,丰台,北京南站,133.24㎡,101.34㎡,2室1厅1厨2卫,东 北,2018-04-02,https://bj.ke.com/ershoufang/101102726011.html
开阳里三区,675,68717,丰台,北京南站,98.23㎡,89.32㎡,2室1厅1厨2卫,南 北,2018-04-09,https://bj.ke.com/ershoufang/101102753181.html
开阳里三区,720,73298,丰台,北京南站,98.23㎡,89.32㎡,2室1厅1厨2卫,南 北,2018-04-16,https://bj.ke.com/ershoufang/101102775757.html
开阳里六区,700,56530,丰台,北京南站,123.83㎡,103.5㎡,2室1厅1厨2卫,西南,2016-12-19,https://bj.ke.com/ershoufang/101100980857.html
开阳里六区,780,63940,丰台,北京南站,121.99㎡,103.02㎡,2室2厅1厨2卫,西南,2017-09-29,https://bj.ke.com/ershoufang/101102137981.html
开阳里六区,750,59662,丰台,北京南站,125.71㎡,105.07㎡,2室2厅1厨2卫,西南,2017-10-16,https://bj.ke.com/ershoufang/101102198757.html
开阳里六区,710,58202,丰台,北京南站,121.99㎡,103.02㎡,2室2厅1厨2卫,西南,2018-03-14,https://bj.ke.com/ershoufang/101102654320.html
开阳里六区,665,53703,丰台,北京南站,123.83㎡,103.5㎡,2室1厅1厨2卫,西南,2018-03-17,https://bj.ke.com/ershoufang/101102663213.html
开阳里六区,780,72223,丰台,北京南站,108㎡,85.99㎡,2室1厅1厨1卫,西南,2018-06-23,https://bj.ke.com/ershoufang/101103008818.html
鼎立水岸家园,795,70020,丰台,北京南站,113.54㎡,91.65㎡,2室2厅1厨2卫,南 北,2018-01-03,https://bj.ke.com/ershoufang/101102456271.html
鼎立水岸家园,800,79508,丰台,北京南站,100.62㎡,82.71㎡,2室1厅1厨1卫,南,2018-02-08,https://bj.ke.com/ershoufang/101102553450.html
鼎立水岸家园,750,69112,丰台,北京南站,108.52㎡,87.6㎡,2室1厅1厨1卫,东北,2018-02-28,https://bj.ke.com/ershoufang/101102587505.html
鼎立水岸家园,835,82986,丰台,北京南站,100.62㎡,82.71㎡,2室1厅1厨1卫,南,2018-04-16,https://bj.ke.com/ershoufang/101102778053.html
鼎立水岸家园,750,84794,丰台,北京南站,88.45㎡,72.71㎡,2室1厅1厨1卫,南,2018-04-24,https://bj.ke.com/ershoufang/101102801930.html
鼎立水岸家园,750,70101,丰台,北京南站,106.99㎡,89.06㎡,2室1厅1厨1卫,西 北,2018-05-03,https://bj.ke.com/ershoufang/101102830435.html
丽泽雅园,713,63975,丰台,马连道,111.45㎡,暂无数据,2室1厅1厨1卫,西南 北,2018-05-14,https://bj.ke.com/ershoufang/101102869916.html
丽泽雅园,750,67295,丰台,马连道,111.45㎡,92.49㎡,2室1厅1厨1卫,西南 北,2018-05-14,https://bj.ke.com/ershoufang/101102871939.html
康宁居,718,83016,丰台,马连道,86.49㎡,72.7㎡,2室2厅1厨1卫,西南,2018-02-07,https://bj.ke.com/ershoufang/101102549849.html
九台2000家园,800,73254,朝阳,亚运村,109.21㎡,88.21㎡,2室1厅1厨2卫,东,2018-03-25,https://bj.ke.com/ershoufang/101102699640.html
保利金泉,800,81475,朝阳,亚运村,98.19㎡,77㎡,2室2厅1厨1卫,东,2017-11-10,https://bj.ke.com/ershoufang/101102290212.html
保利金泉,800,81277,朝阳,亚运村,98.43㎡,77㎡,2室2厅1厨1卫,东北,2018-03-25,https://bj.ke.com/ershoufang/101102697873.html
保利金泉,808,82181,朝阳,亚运村,98.32㎡,77㎡,2室2厅1厨1卫,东北,2018-05-27,https://bj.ke.com/ershoufang/101102915524.html
大屯里小区,650,70271,朝阳,亚运村,92.5㎡,77.96㎡,2室1厅1厨1卫,南,2018-07-08,https://bj.ke.com/ershoufang/101103064097.html
天创世缘,790,70643,朝阳,亚运村,111.83㎡,89.37㎡,2室2厅1厨2卫,南,2018-07-02,https://bj.ke.com/ershoufang/101103044173.html
润枫德尚苑,780,53734,朝阳,亚运村,145.16㎡,114㎡,2室1厅1厨1卫,西北,2018-03-21,https://bj.ke.com/ershoufang/101102678709.html
亚运豪庭,720,67842,朝阳,亚运村小营,106.13㎡,84.06㎡,2室1厅1厨1卫,东,2018-06-29,https://bj.ke.com/ershoufang/101103031228.html
嘉铭桐城C区,815,80399,朝阳,亚运村小营,101.37㎡,85.37㎡,2室2厅1厨1卫,西南,2018-05-29,https://bj.ke.com/ershoufang/101102922641.html
紫薇天悦,790,78467,朝阳,亚运村小营,100.68㎡,81.6㎡,2室2厅1厨1卫,西南,2018-06-27,https://bj.ke.com/ershoufang/101103021972.html
紫薇天悦,780,77474,朝阳,亚运村小营,100.68㎡,81.6㎡,2室1厅1厨1卫,西南,2018-07-04,https://bj.ke.com/ershoufang/101103047798.html
锦绣馨园,750,73878,朝阳,亚运村小营,101.52㎡,83.98㎡,2室1厅1厨1卫,东南,2018-05-26,https://bj.ke.com/ershoufang/101102910713.html
华严北里8号院,700,85964,朝阳,健翔桥,81.43㎡,81.43㎡,2室1厅1厨1卫,东南,2017-08-19,https://bj.ke.com/ershoufang/101101969690.html
中国铁建国际城,660,86084,朝阳,北苑,76.67㎡,59.21㎡,2室1厅1厨1卫,南,2017-05-18,https://bj.ke.com/ershoufang/101101597576.html
中国铁建花语城,780,86841,朝阳,北苑,89.82㎡,67.44㎡,2室1厅1厨1卫,南 北,2018-03-10,https://bj.ke.com/ershoufang/101102637313.html
华贸城,660,74342,朝阳,北苑,88.78㎡,70.67㎡,2室1厅1厨1卫,东 南 北,2018-03-06,https://bj.ke.com/ershoufang/101102615038.html
华贸城,690,80505,朝阳,北苑,85.71㎡,67.25㎡,2室1厅1厨1卫,南,2018-05-12,https://bj.ke.com/ershoufang/101102865474.html
山水蓝维,790,82095,朝阳,北苑,96.23㎡,暂无数据,2室1厅1厨1卫,南 北,2018-05-06,https://bj.ke.com/ershoufang/101102844832.html
拂林园,800,59894,朝阳,北苑,133.57㎡,113.4㎡,2室1厅1厨1卫,东 南 北,2018-04-25,https://bj.ke.com/ershoufang/101102804431.html
润泽公馆,718,80920,朝阳,北苑,88.73㎡,70.93㎡,2室1厅1厨1卫,南,2018-05-01,https://bj.ke.com/ershoufang/101102824873.html
润泽悦溪,730,81784,朝阳,北苑,89.26㎡,71.78㎡,2室2厅1厨1卫,南 北,2018-06-05,https://bj.ke.com/ershoufang/101102946330.html
东恒时代三期,650,72215,朝阳,十里堡,90.01㎡,70.78㎡,2室2厅1厨1卫,西北,2018-06-10,https://bj.ke.com/ershoufang/101102964189.html
爱这城一期,780,81250,朝阳,十里堡,96㎡,75.56㎡,2室2厅1厨1卫,南,2018-03-30,https://bj.ke.com/ershoufang/101102713868.html
